ID SHARE,Trade Date
ALV.DE,04/09/2024
ALV.DE,06/09/2024
ALV.DE,19/09/2024
LLOY.L,06/09/2024
LLOY.L,11/09/2024
SIE.DE,04/09/2024
SIE.DE,06/09/2024
SIE.DE,19/09/2024
SSE.L,04/09/2024
SSE.L,06/09/2024
SSE.L,11/09/2024
SSE.L,19/09/2024
BP.L,04/09/2024
BP.L,06/09/2024
BP.L,11/09/2024
BP.L,19/09/2024
CS.PA,04/09/2024
CS.PA,06/09/2024
CS.PA,19/09/2024
AZN.L,04/09/2024
AZN.L,06/09/2024
AZN.L,11/09/2024
AZN.L,19/09/2024
RIO.L,04/09/2024
RIO.L,06/09/2024
RIO.L,19/09/2024
MSFT,04/09/2024
MSFT,10/09/2024
MSFT,19/09/2024
TTE.PA,06/09/2024
TTE.PA,19/09/2024
BNP.PA,11/09/2024
DTE.DE,04/09/2024
DTE.DE,06/09/2024
DTE.DE,11/09/2024
DTE.DE,19/09/2024
IFX.DE,06/09/2024
IFX.DE,11/09/2024
IFX.DE,19/09/2024
SAN.PA,04/09/2024
SAN.PA,06/09/2024
SAN.PA,19/09/2024
MUV2.DE,04/09/2024
MUV2.DE,06/09/2024
MUV2.DE,11/09/2024
MUV2.DE,19/09/2024
WMT,10/09/2024
WMT,19/09/2024
MC.PA,06/09/2024
MC.PA,19/09/2024
ITW,10/09/2024
STERV.HE,04/09/2024
STERV.HE,06/09/2024
STERV.HE,11/09/2024
STERV.HE,19/09/2024
STAN.L,04/09/2024
STAN.L,06/09/2024
STAN.L,11/09/2024
STAN.L,19/09/2024
ROG.SW,04/09/2024
ROG.SW,06/09/2024
ROG.SW,11/09/2024
ROG.SW,19/09/2024
DIS,10/09/2024
AMD,10/09/2024
NKE,10/09/2024
RENE.MC,04/09/2024
RENE.MC,06/09/2024
RENE.MC,19/09/2024
BAC,10/09/2024
LLY,04/09/2024
LLY,19/09/2024
HD,10/09/2024
AIR.PA,04/09/2024
AIR.PA,06/09/2024
AIR.PA,19/09/2024
SAP.DE,04/09/2024
SAP.DE,06/09/2024
