ID SHARE,Trade Date,Open,Close,High,Low
ALV.DE,04/09/2024,278.5,280.9,282.5,277.0
ALV.DE,06/09/2024,283.3,280.2,283.9,279.5
ALV.DE,19/09/2024,291.3,291.8,292.6,289.0
LLOY.L,06/09/2024,57.52,56.42,57.66,56.32
LLOY.L,11/09/2024,57.36,57.44,57.6,56.74
SIE.DE,04/09/2024,161.03,162.91,163.81,160.78
SIE.DE,06/09/2024,161.21,157.46,162.52,157.3
SIE.DE,19/09/2024,164.47,166.04,166.62,163.36
SSE.L,04/09/2024,1870.94,1888.21,1924.72,1862.06
SSE.L,06/09/2024,1940.02,1947.42,1952.35,1929.65
SSE.L,11/09/2024,1960.74,1961.23,1965.18,1938.04
SSE.L,19/09/2024,1972.09,1916.33,1972.58,1897.09
BP.L,04/09/2024,413.36,413.71,418.96,410.91
BP.L,06/09/2024,409.11,405.56,412.01,404.81
BP.L,11/09/2024,399.22,398.12,404.46,397.37
BP.L,19/09/2024,414.81,417.31,420.06,414.5
CS.PA,04/09/2024,34.12,34.51,34.69,34.08
CS.PA,06/09/2024,34.75,34.49,34.89,34.35
CS.PA,19/09/2024,36.45,36.23,36.48,35.97
AZN.L,04/09/2024,12809.46,12858.74,12933.65,12809.46
AZN.L,06/09/2024,12383.66,12468.42,12596.55,12371.83
AZN.L,11/09/2024,12087.96,12131.33,12174.7,11951.94
AZN.L,19/09/2024,11792.27,11727.22,11870.53,11693.7
RIO.L,04/09/2024,4550.0,4581.0,4595.0,4550.0
RIO.L,06/09/2024,4564.5,4516.0,4579.0,4509.0
RIO.L,19/09/2024,4865.0,4911.5,5043.91,4844.5
MSFT,04/09/2024,404.29,407.27,409.6,402.75
MSFT,10/09/2024,406.57,412.55,414.67,406.07
MSFT,19/09/2024,439.47,436.94,439.74,435.15
TTE.PA,06/09/2024,58.46,58.23,59.0,58.09
TTE.PA,19/09/2024,60.32,60.94,61.05,60.23
BNP.PA,11/09/2024,62.62,62.61,63.06,61.76
DTE.DE,04/09/2024,25.73,26.12,26.14,25.71
DTE.DE,06/09/2024,26.18,26.02,26.28,26.01
DTE.DE,11/09/2024,26.11,26.26,26.29,25.95
DTE.DE,19/09/2024,26.0,26.02,26.11,25.62
IFX.DE,06/09/2024,29.77,28.72,29.89,28.72
IFX.DE,11/09/2024,28.57,28.62,28.82,28.25
IFX.DE,19/09/2024,30.23,30.56,31.04,30.18
SAN.PA,04/09/2024,103.78,105.56,105.66,103.64
SAN.PA,06/09/2024,104.38,104.54,105.74,104.34
SAN.PA,19/09/2024,104.72,104.12,104.74,103.48
MUV2.DE,04/09/2024,491.8,492.7,496.5,491.5
MUV2.DE,06/09/2024,491.7,477.3,492.5,475.7
MUV2.DE,11/09/2024,482.8,479.5,484.1,477.6
MUV2.DE,19/09/2024,485.7,488.0,491.9,480.8
WMT,10/09/2024,77.18,78.64,78.73,77.11
WMT,19/09/2024,78.88,77.87,78.92,77.32
MC.PA,06/09/2024,613.25,606.32,616.42,606.32
MC.PA,19/09/2024,605.33,608.3,612.66,601.66
ITW,10/09/2024,244.15,244.71,245.34,242.12
STERV.HE,04/09/2024,11.2,11.1,11.23,11.04
STERV.HE,06/09/2024,11.06,10.86,11.07,10.85
STERV.HE,11/09/2024,10.77,10.77,10.86,10.72
STERV.HE,19/09/2024,11.35,11.31,11.58,11.31
STAN.L,04/09/2024,746.4,750.0,757.8,742.6
STAN.L,06/09/2024,762.4,750.2,769.2,749.0
STAN.L,11/09/2024,755.0,756.0,760.4,750.0
STAN.L,19/09/2024,779.0,779.6,784.2,773.6
ROG.SW,04/09/2024,280.0,279.2,282.0,277.8
ROG.SW,06/09/2024,274.7,274.2,278.3,273.5
ROG.SW,11/09/2024,266.3,268.8,271.3,266.3
ROG.SW,19/09/2024,271.0,267.5,271.0,267.2
DIS,10/09/2024,87.94,88.01,88.5,87.59
AMD,10/09/2024,139.06,142.84,143.08,137.25
NKE,10/09/2024,79.16,77.69,79.16,77.16
BAC,10/09/2024,39.62,39.06,39.62,38.12
LLY,04/09/2024,946.55,943.12,950.78,934.85
LLY,19/09/2024,909.77,911.96,913.72,900.81
HD,10/09/2024,363.78,368.93,369.61,360.58
AIR.PA,04/09/2024,132.08,133.58,134.32,132.02
AIR.PA,06/09/2024,131.22,128.34,132.28,128.34
AIR.PA,19/09/2024,130.24,133.44,133.5,129.66
SAP.DE,04/09/2024,194.28,193.58,195.8,192.74
SAP.DE,06/09/2024,190.82,190.72,193.7,190.04
SAP.DE,19/09/2024,201.75,206.1,206.7,200.25
AAPL,04/09/2024,221.17,220.37,221.29,217.0
AAPL,10/09/2024,218.44,219.63,220.99,216.25
AAPL,19/09/2024,224.5,228.37,229.32,224.14
ISP.MI,04/09/2024,3.51,3.55,3.58,3.5
ISP.MI,06/09/2024,3.58,3.51,3.59,3.51
ISP.MI,11/09/2024,3.54,3.53,3.58,3.51
ISP.MI,19/09/2024,3.63,3.64,3.64,3.59
SU.PA,04/09/2024,224.0,224.65,225.85,220.95
SU.PA,06/09/2024,219.3,214.95,221.65,214.3
SU.PA,11/09/2024,221.95,220.05,222.85,217.65
SU.PA,19/09/2024,232.35,238.4,238.4,230.35
ORCL,04/09/2024,137.79,140.09,140.44,137.3
ORCL,10/09/2024,153.51,155.16,159.77,152.4
ORCL,19/09/2024,166.47,166.8,167.37,163.74
