Ticker;ISIN;Date;Open;High;Low;Close
IFF;US4595061015;03/09/2024;102,14;104,40;102,09;102,70
IFF;US4595061015;04/09/2024;102,82;103,87;102,20;102,23
IFF;US4595061015;05/09/2024;102,49;102,51;100,96;101,80
IFF;US4595061015;06/09/2024;101,57;102,81;101,05;102,13
IFF;US4595061015;09/09/2024;102,53;103,92;101,99;102,58
IFF;US4595061015;10/09/2024;102,71;103,24;100,85;101,93
IFF;US4595061015;11/09/2024;101,87;102,48;99,85;102,40
IFF;US4595061015;12/09/2024;102,25;102,78;101,53;102,56
IFF;US4595061015;13/09/2024;102,88;103,49;102,36;102,71
IFF;US4595061015;16/09/2024;103,24;103,79;102,02;102,76
IFF;US4595061015;17/09/2024;103,16;103,52;102,58;103,33
IFF;US4595061015;18/09/2024;103,61;103,61;102,08;102,58
IFF;US4595061015;19/09/2024;103,55;103,55;101,75;102,36
IFF;US4595061015;20/09/2024;101,93;102,91;101,13;101,75
IFF;US4595061015;23/09/2024;102,05;103,01;101,55;103,01
IFF;US4595061015;24/09/2024;103,09;104,29;103,00;104,10
IFF;US4595061015;25/09/2024;104,67;104,76;103,14;103,52
IFF;US4595061015;26/09/2024;103,72;104,50;103,24;104,23
IFF;US4595061015;27/09/2024;104,50;105,12;103,75;104,63
ROG;CH0012032048;03/09/2024;105,87;106,58;102,84;103,41
ROG;CH0012032048;04/09/2024;103,89;105,10;103,29;103,32
ROG;CH0012032048;05/09/2024;103,75;104,40;101,33;102,71
ROG;CH0012032048;06/09/2024;102,64;102,93;98,49;98,58
ROG;CH0012032048;09/09/2024;98,47;99,68;97,65;98,09
ROG;CH0012032048;10/09/2024;97,62;98,40;96,86;97,90
ROG;CH0012032048;11/09/2024;98,24;99,63;96,41;99,56
ROG;CH0012032048;12/09/2024;100,31;101,20;98,58;101,16
ROG;CH0012032048;13/09/2024;103,63;105,10;102,96;104,47
ROG;CH0012032048;16/09/2024;105,32;105,99;103,38;104,93
ROG;CH0012032048;17/09/2024;106,36;106,82;105,20;105,58
ROG;CH0012032048;18/09/2024;106,00;107,76;104,57;104,61
ROG;CH0012032048;19/09/2024;107,44;107,44;105,42;105,80
ROG;CH0012032048;20/09/2024;105,31;105,31;102,69;103,23
ROG;CH0012032048;23/09/2024;103,73;103,79;102,58;103,20
ROG;CH0012032048;24/09/2024;104,27;105,49;103,79;104,78
ROG;CH0012032048;25/09/2024;104,42;104,89;103,59;104,04
ROG;CH0012032048;26/09/2024;106,10;108,73;105,45;108,11
ROG;CH0012032048;27/09/2024;109,54;111,01;108,95;110,24
DIS;US2546871060;03/09/2024;89,21;90,09;88,15;88,74
DIS;US2546871060;04/09/2024;88,56;89,62;88,43;88,86
DIS;US2546871060;05/09/2024;89,27;89,27;87,95;88,26
DIS;US2546871060;06/09/2024;88,06;88,70;87,33;87,55
DIS;US2546871060;09/09/2024;87,83;88,50;87,42;87,95
DIS;US2546871060;10/09/2024;87,94;88,50;87,59;88,01
DIS;US2546871060;11/09/2024;87,66;88,04;86,21;87,93
DIS;US2546871060;12/09/2024;87,83;88,94;87,79;88,91
DIS;US2546871060;13/09/2024;89,06;90,32;89,00;90,15
DIS;US2546871060;16/09/2024;90,70;91,96;90,55;91,44
DIS;US2546871060;17/09/2024;91,96;92,84;91,76;92,45
DIS;US2546871060;18/09/2024;93,11;93,66;92,28;93,17
DIS;US2546871060;19/09/2024;94,40;94,87;92,91;93,04
DIS;US2546871060;20/09/2024;92,79;93,60;92,41;93,34
DIS;US2546871060;23/09/2024;93,29;93,29;91,75;92,56
DIS;US2546871060;24/09/2024;92,93;93,38;92,05;93,28
DIS;US2546871060;25/09/2024;93,23;94,02;92,94;93,51
DIS;US2546871060;26/09/2024;94,04;95,37;93,76;94,78
DIS;US2546871060;27/09/2024;95,07;96,47;94,86;95,59
AMD;US0079031078;03/09/2024;146,41;146,49;136,10;136,94
AMD;US0079031078;04/09/2024;140,51;143,37;138,51;140,87
AMD;US0079031078;05/09/2024;138,20;141,71;137,83;139,44
AMD;US0079031078;06/09/2024;138,70;139,13;132,11;134,35
AMD;US0079031078;09/09/2024;136,10;138,45;134,86;138,15
AMD;US0079031078;10/09/2024;139,06;143,08;137,25;142,84
AMD;US0079031078;11/09/2024;145,32;150,16;140,71;149,86
AMD;US0079031078;12/09/2024;148,43;151,54;147,65;150,77
AMD;US0079031078;13/09/2024;152,32;153,03;150,70;152,31
AMD;US0079031078;16/09/2024;151,70;154,44;150,91;152,08
AMD;US0079031078;17/09/2024;153,55;154,04;149,23;150,82
AMD;US0079031078;18/09/2024;150,90;152,82;148,01;148,29
AMD;US0079031078;19/09/2024;153,81;159,25;152,77;156,74
AMD;US0079031078;20/09/2024;156,00;157,45;152,47;155,95
AMD;US0079031078;23/09/2024;156,45;157,19;154,97;156,75
AMD;US0079031078;24/09/2024;157,46;159,64;154,58;158,32
AMD;US0079031078;25/09/2024;158,50;162,95;158,18;162,02
AMD;US0079031078;26/09/2024;167,06;168,68;164,05;167,49
AMD;US0079031078;27/09/2024;167,48;168,73;163,74;164,35
NKE;US6541061031;03/09/2024;82,29;82,52;80,60;80,91
NKE;US6541061031;04/09/2024;79,69;80,68;79,27;80,61
NKE;US6541061031;05/09/2024;80,72;80,83;79,80;80,42
NKE;US6541061031;06/09/2024;80,47;81,46;79,94;80,22
NKE;US6541061031;09/09/2024;80,34;81,17;78,62;79,09
NKE;US6541061031;10/09/2024;79,16;79,16;77,16;77,69
NKE;US6541061031;11/09/2024;77,60;78,19;76,35;78,00
NKE;US6541061031;12/09/2024;77,83;78,67;77,14;78,00
NKE;US6541061031;13/09/2024;77,90;79,09;77,71;78,61
NKE;US6541061031;16/09/2024;78,93;79,58;78,29;79,39
NKE;US6541061031;17/09/2024;79,60;80,57;79,45;80,23
NKE;US6541061031;18/09/2024;80,25;81,34;79,82;80,49
NKE;US6541061031;19/09/2024;82,18;82,70;80,06;80,57
NKE;US6541061031;20/09/2024;87,42;87,55;84,38;86,08
NKE;US6541061031;23/09/2024;84,97;86,09;84,62;85,76
NKE;US6541061031;24/09/2024;87,00;87,83;86,22;87,02
